房源信息,户型大小,价格
单间|电梯房一号线泽民地铁天一广场鼓楼地铁直达带独立,主卧(4室)20㎡,1388元/月                
单间|特价！！银泰城附近，独卫朝南带阳台可以做饭才700不,次卧(6室)18㎡,700元/月                
整租|无中介直租下应紫郡大三居出租，两厅两卫水电民用包物业,3室125㎡,3900元/月                
整租|新潮塘北苑45平单身公寓简单装修家电齐全拎包入住包物,1室42㎡,1700元/月                
整租|万达广场金地澜悦三室精装好房出租,3室116㎡,5400元/月                
整租|出租市中心三小旁3室精装修看了满意,3室124.00㎡,2800元/月                
整租|兰墅公寓新装出租,2室100㎡,2800元/月                
整租|世纪城翠湖苑3室2厅2卫1700元月电梯房,3室139㎡,1700元/月                
整租|绿城明园秋月苑2室2厅2卫4500元月豪华装修,2室100.00㎡,4500元/月                
整租|盛世华庭3室家电齐全拎包入住租金2300元随时看房,3室85㎡,2300元/月                
整租|出租鸣北小区高层，三间朝南，诚心客户价格适当可小刀。,2室90㎡,2600元/月                
整租|房子楼层好位置佳，精装家电齐全3100元包物业包车位,3室130㎡,3100元/月                
单间|免中介东方城香梅家园轻纺城精装修配套齐全拎,主卧(3室)35㎡,800元/月                
单间|甬兴新村印象城宝龙广场万象汇拎包入住随时看房,主卧(3室)25㎡,999元/月                
单间|无中介全女生精装朝南单间三室合租电梯高层随,主卧(3室)20㎡,1000元/月                
整租|地铁口青枫雅苑3室2900元月115平精装修,3室115㎡,2900元/月                
整租|保利附近精装修现代化单身公寓出租押一付一拎包入住家电,1室40㎡,1300元/月                
整租|众安银泰城品质公寓豪华装修朝东阳光充足自带商业体,1室45㎡,2100元/月                
单间|保利印间南三期，独卫，特价出租，,次卧(4室)25㎡,1300元/月                
单间|腾日大厦对面锦绣江南全新装修朝南主卧带独卫出租,主卧(3室)24㎡,1050元/月                
整租|九龙三期三室两厅一卫精装修家电齐全，拎包入住租金19,3室125㎡,1900元/月                
整租|无中介，和丰创意广场附近整租三居室，楼层好，精装修，,3室90㎡,2999元/月                
整租|龙湖滟澜海岸(中区)2室2厅1卫1800元月8,2室95.55㎡,1800元/月                
整租|明月佳苑2室2厅1卫3200元月配套齐全南北,2室105㎡,3200元/月                
整租|户型方正采光好简单干净拎包入住,1室30㎡,1600元/月                
整租|姚江上上城电梯房精装首租二室二厅,2室90㎡,2700元/月                
整租|出租峙山庄园两室两厅两卫，房东自住房，干净整洁，随时,2室90㎡,3800元/月                
整租|青林湾六期，2室，精装修，领包入住，楼层好,2室80㎡,2500元/月                
整租|万达旁名仕花园喜鹊公馆单身公寓1900元拎包入住包物,1室43.00㎡,1900元/月                
整租|世茂湾88平方精装3500一月，生活便利拎包入住。,2室88㎡,3500元/月                
整租|精装修公寓直租，免中介，押一付一，家电齐全，拎包入住,1室30㎡,1300元/月                
单间|甬城和庭4室1厅2卫,次卧(4室)18㎡,700元/月                
整租|（个人免中介费）南部商务区万达广场旁荣安星空里豪华公,1室52㎡,2300元/月                
整租|锦苑西巷精装清爽二房城租2500元一月,2室70㎡,2500元/月                
整租|可短租！押一付一，无物业费，下应128广场附近精装修,1室18㎡,900元/月                
整租|栖海花园1室1厅1卫,1室50㎡,1700元/月                
整租|个人免中介家乐福天伦广场和丰创意广场附近南北通透,1室30㎡,1200元/月                
整租|蓝色东方精装3房，距离三官堂地铁站近，新小区万科物业,3室90㎡,3500元/月                
单间|房东急租联丰北区临近联南花园丽园馨都金地小区,次卧(4室)28㎡,700元/月                
整租|市中心急租三房有钥匙随时看房,3室124.54㎡,2800元/月                
整租|免中介费南部商务区银泰城罗蒙环球城对面星空里,1室43㎡,2300元/月                
整租|慈溪1室0厅1卫,1室35㎡,500元/月                
整租|免中介万达旁精装公寓出租,1室35㎡,1600元/月                
整租|免中介荣安星空里城市摩尔南部商务区罗蒙环球城,1室55㎡,2300元/月                
整租|近天一鼓楼月湖精装两室无中介迎凤社区游河巷可随时,2室65㎡,2300元/月                
整租|银珠明园精装3室2厅2卫南北通透城租4200元月,3室120㎡,4200元/月                
整租|洛兹小区1室1厅1卫1250元月30平免中介物,1室30㎡,1250元/月                
整租|慈溪大润发1室厅1卫,1室35㎡,750元/月                
整租|高桥银亿朗境，4房，精装修。,4室107㎡,2300元/月                
整租|东城名苑豪装136平方三室二厅二卫4200每月，拎包,3室135㎡,4200元/月                
整租|地铁三号线南部商务区罗蒙环球城单身公寓押一付一,1室35㎡,1900元/月                
整租|贺丞小区5楼二房朝南精装修拎包入住,2室58㎡,1850元/月                
整租|慈溪大润发2室2厅1卫,2室150㎡,2800元/月                
单间|港隆广场绿源大厦福明菜市场板急百货合租单间900起,主卧(3室)30㎡,850元/月                
单间|无中介高新区主卧朝南带独卫双阳台民用水电,主卧(4室)32㎡,1400元/月                
整租|急租1850元大步小区4楼二房朝南清爽装修,2室58㎡,1850元/月                
单间|天海华庭精装有独卫楼下柳西地铁口大卿桥地铁口,主卧(2室)20㎡,800元/月                
整租|众安时代广场(商住楼)1室1厅1卫,1室45㎡,1900元/月                
整租|免中介天伦广场旁精装一室配置齐全拎包入住进,1室45㎡,1850元/月                
单间|白鹂江景1室0厅1卫次卧东,次卧(1室)20㎡,700元/月                
整租|彩虹新村2室1厅1卫,2室64㎡,2800元/月                
整租|万达复式单身公寓6060拎包入住,2室60㎡,2583元/月                
整租|紫郡买菜接送孩子都方便的中庭位置整套婚房出租,3室118㎡,4000元/月                
整租|富邦广场单身公寓一居室精装修，家电齐全，看房方便,1室48㎡,2200元/月                
单间|世纪东方附近看房随时我在附近,主卧(3室)25㎡,850元/月                
整租|国泰花园中层精装3室2厅2卫家电齐全看房有钥匙420,3室155㎡,4200元/月                
整租|骆驼三星工业区三星路155号奇正发动机部件对面，免中,1室25㎡,750元/月                
整租|S319(六一省道)1室0厅1卫,1室20㎡,850元/月                
整租|慈溪市区城东新村142号1室1厅1卫,1室38㎡,600元/月                
整租|缇香郦城AB套，干净清爽出租,2室80.00㎡,2000元/月                
单间|无中介费用，房东出租，房间格局很好，居住舒适，拎包入,主卧(3室)28㎡,900元/月                
整租|万科未来之光3室2厅1卫2800元月电梯房精,3室80㎡,2800元/月                
整租|（房东）月付随时看房朝东精装简约风一室一厅单身公寓停,1室45㎡,2000元/月                
整租|民用电公寓来福利咯，精装全新出租大阳台房间通透,1室40㎡,1600元/月                
整租|免中介家乐福旁乐租公寓配置齐全拎包入住天伦,1室45㎡,2050元/月                
整租|无中介金融硅谷品牌公寓新市政府旁地铁口配套,1室40㎡,2650元/月                
整租|南部商务区附近900~1500精装修一室多套出租速,1室32㎡,1100元/月                
整租|假一赔十可视频看房公寓直租家具家电齐全拎包入,1室45㎡,1200元/月                
单间|主卧带阳台电梯楼家电齐全民用水电欢迎打扰看房,主卧(3室)20㎡,1200元/月                
整租|杭州湾旅店式智能蓝领公寓|专业配套服务企业员工,1室38㎡,800元/月                
整租|南部商务区学府一号青柠公寓一室一厅一厨一卫无中,1室35㎡,1800元/月                
整租|万科泊寓家具设施齐全品牌公寓免费宽带,1室40㎡,1790元/月                
整租|嘉盛银座1室1厅1卫1500元月配套齐全精装,1室32㎡,1500元/月                
整租|盛世天城二期2室1厅1卫随时可看有钥匙,2室90.00㎡,3000元/月                
整租|中南锦悦府(北区)4室2厅2卫3200元月12,4室110㎡,3200元/月                
整租|莘香雅苑2室2厅1卫随时可看精装首次,2室90.0㎡,3200元/月                
整租|宁穿路73号小区1室0厅1卫1600元月41平,1室40㎡,1600元/月                
单间|兰墅公寓(二期)1室0厅1卫次卧南,次卧(1室)20㎡,600元/月                
整租|供销大楼1室0厅1卫,1室25㎡,1200元/月                
整租|绿地U家一室一厅南北通透，家电家具齐全！,1室30㎡,1460元/月                
整租|有钥匙多套出租印象城旁云庭公寓朝南41平2300出租,1室41㎡,2300元/月                
整租|君睿名苑2室1厅1卫,2室75㎡,2500元/月                
整租|澄波华庭精装位佳好房出租,2室98㎡,2800元/月                
单间|明东社区(418弄)3室1厅1卫,主卧(3室)25㎡,1100元/月                
整租|宝龙天地精装公寓直租,1室38㎡,1500元/月                
单间|天官和庭5室1厅1卫,主卧(5室)25㎡,850元/月                
整租|免中介押一付一南部商务区学府一号2室1厅1卫200,2室80㎡,2000元/月                
单间|江沿景苑2室1厅1卫,次卧(2室)15㎡,750元/月                
整租|港隆广场（非中介）可短租（押一付一）,1室14㎡,504元/月                
整租|泗洲家园3室1厅1卫,3室80㎡,2680元/月                
整租|振邦学士汇~万里对面~近万达南部~家电齐全~交通方便,2室100㎡,2600元/月                
整租|中湾广场(二期)1室1厅1卫,1室45㎡,1750元/月                
整租|实验学校旁伊顿国际精装三房配套齐全拎包入住,3室139㎡,6000元/月                
单间|阳光嘉园1室1厅1卫,主卧(1室)25㎡,820元/月                
整租|颐璟园三期奥克斯缔壹城潘火东部新城东南潘火,3室89㎡,3400元/月                
单间|宋成佳苑4室1厅2卫,主卧(4室)25㎡,680元/月                
单间|江厦桥东，1号线地铁站，金光百货旁边常关弄1楼拼租女,次卧(2室)10㎡,600元/月                
单间|飞虹社区(二区南区)1室0厅1卫主卧南,主卧(1室)20㎡,900元/月                
整租|近南部商务区罗蒙环球城城市摩尔一室带玻璃房可月,1室68㎡,2900元/月                
整租|万科金域华府2室1厅1卫,2室80㎡,4000元/月                
整租|房子是3室2厅1卫衣4500元月电梯房148,3室148㎡,4500元/月                
整租|牡丹小区(北仑)1室1厅1卫,1室45㎡,1600元/月                
整租|特价房~整租~春江花城两室3.2K精装修近印象城近地,2室80㎡,3200元/月                
整租|中河2室1厅2卫,2室120㎡,3900元/月                
整租|甬港新村，地铁口3楼72平二室二厅精装修全亮南北通透,2室73㎡,2600元/月                
单间|沧海名苑1室0厅1卫,其他(1室)15㎡,750元/月                
整租|无中介，学生有免租大卿桥地铁站附近整租两居室，低楼,2室70㎡,1999元/月                
整租|富力御官山(二期南区)3室2厅1卫,3室102㎡,3200元/月                
整租|世纪城聚江苑精装三室，家具家电齐全拎包入住,3室96㎡,1950元/月                
整租|雅戈尔东海府1室1厅1卫,1室40㎡,1150元/月                
整租|个人无中介东部新城国贸领寓温馨一室一厅随时看,1室30㎡,2499元/月                
整租|永泰花园1室1厅1卫,1室20㎡,1300元/月                
整租|大河巷整租两室两房朝南，带阳台，靠近江夏桥东天一鼓,2室80㎡,2200元/月                
单间|戴家新村1室1厅1卫,其他(1室)35㎡,589元/月                
整租|实拍图万科桂语里精装3房2卫家电齐全拎包入住,3室120㎡,4600元/月                
